产品名字,产品型号,产品价格,产品以前价格,产品颜色,产品尺寸,产品详情,产品图片,产品标题,产品位置,适合人群,产品页面编号,产品url
Nike Swoosh,AC2285-402,￥59,￥0,宝蓝/白色/白色,['all'],"['弹力舒适', 'Nike Swoosh 头带（1 条）是多项运动训练的理想选择，柔软的混纺棉料弹性十足，可以有效吸收汗液。', '其他细节', '柔软的混纺棉料有效减少汗液干扰视线', '弹性面料舒适贴合', '产品细节', '面料：70% 棉/19% 锦纶/7% 聚酯纤维/4% 二烯类弹性纤维', '可机洗', '显示颜色： 宝蓝/白色/白色', '款式： AC2285-402', '敬请注意，同款但不同配色的商品有可能在材质等方面有些许差异，本页面中的商品介绍内容仅供参考，商品具体信息请以实物为准。如商品介绍内容中包含 Nike Flyknit 或气垫相关信息，请点击', '，获取产品技术说明和穿着注意事项。']",['https://c.static-nike.com/a/images/t_PDP_1280_v1/f_auto/e5qf1kvk3t5av1webubq/swoosh-头带（1-条）-R8fBh2.jpg'],头带（1 条）,18,womens,2,https://www.nike.com/cn/t/swoosh-%E5%A4%B4%E5%B8%A6%EF%BC%881-%E6%9D%A1%EF%BC%89-R8fBh2/AC2285-402
NikeCourt Featherlight,679421-100,￥159,￥0,白色/黑/白色/黑,['all'],"['透气舒适，激战制霸', 'NikeCourt Featherlight 可调节网球运动帽采用黑色下帽檐设计，有效减少刺眼光线，赋予你心无旁骛的凉爽运动体验。', '其他细节', 'Dri-FIT 面料助你保持干爽舒适', '网眼布拼接与打孔式衬里拼接相结合，塑就出色透气性', '黑色下帽檐设计减少炫光', '背面魔术贴粘扣搭配反光提拉设计，可定制专属贴合感与出色的视觉可见度', '产品细节', '面料/里料：100% 聚酯纤维', '手洗', '显示颜色： 白色/黑/白色/黑', '款式： 679421-100', '敬请注意，同款但不同配色的商品有可能在材质等方面有些许差异，本页面中的商品介绍内容仅供参考，商品具体信息请以实物为准。']",['https://c.static-nike.com/a/images/t_PDP_1280_v1/f_auto/c1distcx60p7ehawjube/nikecourt-featherlight-可调节网球运动帽-h6mMZR.jpg'],可调节网球运动帽,19,womens,2,https://www.nike.com/cn/t/nikecourt-featherlight-%E5%8F%AF%E8%B0%83%E8%8A%82%E7%BD%91%E7%90%83%E8%BF%90%E5%8A%A8%E5%B8%BD-h6mMZR/679421-100
NikeCourt Featherlight,679421-010,￥159,￥0,黑/黑/黑/白色,['all'],"['透气舒适，激战制霸', 'Nike Feather Light 可调节网球运动帽采用导湿速干面料，巧妙搭配网眼布透气设计，为你缔造舒适贴合感与出色透气性。黑色下帽檐设计减少炫光，赋予你心无旁骛的运动体验。', '其他细节', 'Dri-FIT 面料助你保持干爽舒适', '网眼布拼接与打孔式衬里拼接相结合，塑就出色透气性', '黑色下帽檐设计减少炫光', '背面魔术贴粘扣搭配反光提拉设计，可定制专属贴合感与出色的视觉可见度', '产品细节', '面料：100% 聚酯纤维。里料：100% 聚酯纤维。', '手洗', '显示颜色： 黑/黑/黑/白色', '款式： 679421-010', '敬请注意，同款但不同配色的商品有可能在材质等方面有些许差异，本页面中的商品介绍内容仅供参考，商品具体信息请以实物为准。']",['https://c.static-nike.com/a/images/t_PDP_1280_v1/f_auto/z3bz9inia0pblinptyuw/nikecourt-featherlight-可调节网球运动帽-h6mMZR.jpg'],可调节网球运动帽,19,womens,2,https://www.nike.com/cn/t/nikecourt-featherlight-%E5%8F%AF%E8%B0%83%E8%8A%82%E7%BD%91%E7%90%83%E8%BF%90%E5%8A%A8%E5%B8%BD-h6mMZR/679421-010
NikeCourt AeroBill Rafa H86,850666-010,￥169,￥0,黑/白色,['all'],"['轻盈包覆', 'NikeCourt AeroBill H86 Rafa 可调节网球运动帽在球场为你缔造凉爽的防护体验。', '其他细节', 'AeroBill 技术有助排汗，营造轻盈透气感受', '优质汗带，有效吸汗', '刺绣孔眼，有效提升透气性', '黑色下帽沿设计减少炫光', '单手快速调节型扣带设计，打造定制般贴合感', '产品细节', '面料/里料/帽檐：100% 聚酯纤维', '可机洗', '显示颜色： 黑/白色', '款式： 850666-010', '产品信息描述以850666-010产品为参照，实物的具体信息若与参照物和网站产品图片有出入，请以实物为准。如有其它疑问，请联系我们。']",['https://c.static-nike.com/a/images/t_PDP_1280_v1/f_auto/q9wsvqzmtkrpegd2agne/nikecourt-aerobill-rafa-h86-可调节网球运动帽-4tKQtl.jpg'],可调节网球运动帽,20,womens,2,https://www.nike.com/cn/t/nikecourt-aerobill-rafa-h86-%E5%8F%AF%E8%B0%83%E8%8A%82%E7%BD%91%E7%90%83%E8%BF%90%E5%8A%A8%E5%B8%BD-4tKQtl/850666-010
NikeCourt AeroBill Rafa H86,850666-634,￥169,￥0,哈瓦那红/白色,['all'],"['轻盈包覆', 'NikeCourt AeroBill Rafa H86 可调节网球运动帽在球场为你缔造凉爽的防护体验。', '其他细节', 'AeroBill 技术有助导湿速干，营造轻盈透气感受', '刺绣孔眼，有效提升透气性', '下帽檐设计减少炫光', '单手快速调节型扣带设计，打造定制般贴合感', '产品细节', '敬请注意，同款但不同配色的商品有可能在材质等方面有些许差异，本页面中的商品介绍内容仅供参考，商品具体信息请以实物为准。如商品介绍内容中包含 Nike Flyknit 或气垫相关信息，请点击', '，获取产品技术说明和穿着注意事项。']",['https://c.static-nike.com/a/images/t_PDP_1280_v1/f_auto/dmpzxzhxukkgbvtta3ob/nikecourt-aerobill-rafa-h86-可调节网球运动帽-4tKQtl.jpg'],可调节网球运动帽,20,womens,2,https://www.nike.com/cn/t/nikecourt-aerobill-rafa-h86-%E5%8F%AF%E8%B0%83%E8%8A%82%E7%BD%91%E7%90%83%E8%BF%90%E5%8A%A8%E5%B8%BD-4tKQtl/850666-634
NikeCourt AeroBill,899656-100,￥129,￥0,白色/白色/黑/黑,['all'],"['轻盈包覆', 'NikeCourt AeroBill 女子网球遮阳帽在球场为你缔造凉爽的防护体验。', '其他细节', 'AeroBill 技术，营造轻盈透气感受', '网眼拼接设计，有效提升透气性', '黑色下帽檐设计减少炫光', '单手快速调节型扣带设计，打造定制般贴合感', '产品细节', '面料：100% 聚酯纤维。后拼接：100% 聚酯纤维。里料：91% 聚酯纤维/9% 氨纶。', '手洗', '显示颜色： 白色/白色/黑/黑', '款式： 899656-100', '敬请注意，同款但不同配色的商品有可能在材质等方面有些许差异，本页面中的商品介绍内容仅供参考，商品具体信息请以实物为准。如商品介绍内容中包含 Nike Flyknit 或气垫相关信息，请点击此', '，获取产品技术说明和穿着注意事项。']",['https://c.static-nike.com/a/images/t_PDP_1280_v1/f_auto/ucdvezeprzdwrfpifqbb/nikecourt-aerobill-女子网球遮阳帽-FKjm4s.jpg'],女子网球遮阳帽,21,womens,2,https://www.nike.com/cn/t/nikecourt-aerobill-%E5%A5%B3%E5%AD%90%E7%BD%91%E7%90%83%E9%81%AE%E9%98%B3%E5%B8%BD-FKjm4s/899656-100
NikeCourt AeroBill,899656-010,￥129,￥0,黑/黑/黑/白色,['all'],"['轻盈包覆', 'NikeCourt AeroBill 女子网球遮阳帽在球场为你缔造凉爽的防护体验。', '其他细节', 'AeroBill 技术，营造轻盈透气感受', '网眼拼接设计，有效提升透气性', '黑色下帽檐设计减少炫光', '单手快速调节型扣带设计，打造定制般贴合感', '产品细节', '面料：100% 聚酯纤维。后拼接：100% 聚酯纤维。里料：91% 聚酯纤维/9% 氨纶。', '手洗', '显示颜色： 黑/黑/黑/白色', '款式： 899656-010', '敬请注意，同款但不同配色的商品有可能在材质等方面有些许差异，本页面中的商品介绍内容仅供参考，商品具体信息请以实物为准。如商品介绍内容中包含 Nike Flyknit 或气垫相关信息，请点击此', '，获取产品技术说明和穿着注意事项。']",['https://c.static-nike.com/a/images/t_PDP_1280_v1/f_auto/vieepu86kusbbjqpnqpm/nikecourt-aerobill-女子网球遮阳帽-FKjm4s.jpg'],女子网球遮阳帽,21,womens,2,https://www.nike.com/cn/t/nikecourt-aerobill-%E5%A5%B3%E5%AD%90%E7%BD%91%E7%90%83%E9%81%AE%E9%98%B3%E5%B8%BD-FKjm4s/899656-010
NikeCourt AeroBill Rafa H86,850666-101,￥169,￥0,白色/黑,['all'],"['轻盈包覆', 'NikeCourt AeroBill Rafa H86 可调节网球运动帽在球场为你缔造凉爽的防护体验。', '其他细节', 'AeroBill 技术有助导湿速干，营造轻盈透气感受', '刺绣孔眼，有效提升透气性', '下帽檐设计减少炫光', '单手快速调节型扣带设计，打造定制般贴合感', '产品细节', '敬请注意，同款但不同配色的商品有可能在材质等方面有些许差异，本页面中的商品介绍内容仅供参考，商品具体信息请以实物为准。如商品介绍内容中包含 Nike Flyknit 或气垫相关信息，请点击', '，获取产品技术说明和穿着注意事项。']",['https://c.static-nike.com/a/images/t_PDP_1280_v1/f_auto/ktp2dmrcxf9uuczo2kos/nikecourt-aerobill-rafa-h86-可调节网球运动帽-0hFqWF.jpg'],可调节网球运动帽,22,womens,2,https://www.nike.com/cn/t/nikecourt-aerobill-rafa-h86-%E5%8F%AF%E8%B0%83%E8%8A%82%E7%BD%91%E7%90%83%E8%BF%90%E5%8A%A8%E5%B8%BD-0hFqWF
NikeCourt AeroBill,899656-627,￥129,￥0,正浆果红/白色,['all'],"['轻盈包覆', 'NikeCourt AeroBill 女子网球遮阳帽在球场为你缔造凉爽的防护体验。', '其他细节', 'AeroBill 技术，营造轻盈透气感受', '网眼拼接设计，有效提升透气性', '黑色下帽檐设计减少炫光', '单手快速调节型扣带设计，打造定制般贴合感', '产品细节', '面料：100% 聚酯纤维。后拼接：100% 聚酯纤维。里料：91% 聚酯纤维/9% 氨纶。', '手洗', '显示颜色： 正浆果红/白色', '款式： 899656-627', '敬请注意，同款但不同配色的商品有可能在材质等方面有些许差异，本页面中的商品介绍内容仅供参考，商品具体信息请以实物为准。如商品介绍内容中包含 Nike Flyknit 或气垫相关信息，请点击此', '，获取产品技术说明和穿着注意事项。']",['https://c.static-nike.com/a/images/t_PDP_1280_v1/f_auto/myijckyzbciheg9b2cp1/nikecourt-aerobill-女子网球遮阳帽-MMrn0S.jpg'],女子网球遮阳帽,23,womens,2,https://www.nike.com/cn/t/nikecourt-aerobill-%E5%A5%B3%E5%AD%90%E7%BD%91%E7%90%83%E9%81%AE%E9%98%B3%E5%B8%BD-MMrn0S
Nike Legacy 91,892651-100,￥159,￥0,白色/煤黑/黑,['all'],"['专属舒适', 'The Nike Legacy 91 可调节高尔夫运动帽采用速干面料，助你在球场保持头部干爽舒适。', '其他细节', 'Dri-FIT 技术，帮助保持干爽舒适', '刺绣孔眼，提升透气效果', '后部激光穿孔的魔术贴粘扣设计，打造专属的干爽舒适体验', '产品细节', '面料/前片拼接（正面）：100% 聚酯纤维。前片拼接（背面）：65% 聚酯纤维/35% 棉。', '手洗', '显示颜色： 白色/煤黑/黑', '款式： 892651-100']",['https://c.static-nike.com/a/images/t_PDP_1280_v1/f_auto/kv7cuvxetbdo45lcupui/legacy-91-可调节高尔夫运动帽-8gVL7w.jpg'],可调节高尔夫运动帽,24,womens,2,https://www.nike.com/cn/t/legacy-91-%E5%8F%AF%E8%B0%83%E8%8A%82%E9%AB%98%E5%B0%94%E5%A4%AB%E8%BF%90%E5%8A%A8%E5%B8%BD-8gVL7w
Nike Classic99,AJ5499-100,￥169,￥0,白色/煤黑/黑,['all'],"['经典舒适，为球场而生', '戴上 Nike Classic99 高尔夫运动帽，为你的造型带来点睛之笔。柔软汗带和弹性材料营造非凡舒适感受，赋予你心无旁骛的应战体验。', '其他细节', 'Dri-FIT 技术，帮助保持干爽舒适', '刺绣眼孔营造出色的空气流通效果', '纹理面料融入氨纶，可自如伸展，缔造专属贴合感', '汗带设计，柔软导湿', '产品细节', '魔术贴粘扣', '面料：90% 聚酯纤维/10% 氨纶。前片拼接（背面）：100% 聚酯纤维。\xa0 \xa0', '手洗', '显示颜色： 白色/煤黑/黑', '款式： AJ5499-100', '敬请注意，同款但不同配色的商品有可能在材质等方面有些许差异，本页面中的商品介绍内容仅供参考，商品具体信息请以实物为准。如商品介绍内容中包含 Nike Flyknit 或气垫相关信息，请点击此', '，获取产品技术说明和穿着注意事项。']",['https://c.static-nike.com/a/images/t_PDP_1280_v1/f_auto/z2t9xpxtwkodyoursntd/classic99-高尔夫运动帽-Ct0jRB.jpg'],高尔夫运动帽,25,womens,2,https://www.nike.com/cn/t/classic99-%E9%AB%98%E5%B0%94%E5%A4%AB%E8%BF%90%E5%8A%A8%E5%B8%BD-Ct0jRB/AJ5499-100
Nike Classic99,AJ5499-010,￥169,￥0,黑/煤黑/白色,['all'],"['经典舒适，为球场而生', '戴上 Nike Classic99 高尔夫运动帽，为你的造型带来点睛之笔。柔软汗带和弹性材料营造非凡舒适感受，赋予你心无旁骛的应战体验。', '其他细节', 'Dri-FIT 技术，帮助保持干爽舒适', '刺绣眼孔营造出色的空气流通效果', '纹理面料融入氨纶，可自如伸展，缔造专属贴合感', '汗带设计，柔软导湿', '产品细节', '魔术贴粘扣', '面料：90% 聚酯纤维/10% 氨纶。前片拼接（背面）：100% 聚酯纤维。\xa0 \xa0', '手洗', '显示颜色： 黑/煤黑/白色', '款式： AJ5499-010', '敬请注意，同款但不同配色的商品有可能在材质等方面有些许差异，本页面中的商品介绍内容仅供参考，商品具体信息请以实物为准。如商品介绍内容中包含 Nike Flyknit 或气垫相关信息，请点击此', '，获取产品技术说明和穿着注意事项。']",['https://c.static-nike.com/a/images/t_PDP_1280_v1/f_auto/phhrilvndkbb1ti1f4yi/classic99-高尔夫运动帽-Ct0jRB.jpg'],高尔夫运动帽,25,womens,2,https://www.nike.com/cn/t/classic99-%E9%AB%98%E5%B0%94%E5%A4%AB%E8%BF%90%E5%8A%A8%E5%B8%BD-Ct0jRB/AJ5499-010
NikeLab ACG,AV4774-010,￥349,￥0,黑/赭黄/白色,['all'],"['为运动而生，动态贴合', 'NikeLab ACG 针织帽在针织面料中间夹入优质里料，保暖舒适，是外出时的御寒利器。双面佩戴设计，可令你轻松转换穿搭造型。', '其他细节', '针织面料，柔软保暖', '优质里料，帮助保持干爽', '双面佩戴设计塑就两种风格', '产品细节', '外层面料/内层面料：80% 聚酯纤维/20% 棉', '手洗', '显示颜色： 黑/赭黄/白色', '款式： AV4774-010', '关于 NikeLab ACG 系列', 'NikeLab ACG 系列装备采用时尚设计，助力应对不良天气因素，令你征服或攻克都市中的不良天气条件或地形环境。出色防护面料和透气技术结合，提供出众包覆效果，前沿设计带来多元存储体验和风格穿搭选择。', '敬请注意，同款但不同配色的商品有可能在材质等方面有些许差异，本页面中的商品介绍内容仅供参考，商品具体信息请以实物为准。如商品介绍内容中包含 Nike Flyknit 或气垫相关信息，请点击此', '，获取产品技术说明和穿着注意事项。']",['https://c.static-nike.com/a/images/t_PDP_1280_v1/f_auto/bef6vpbtdrzuqlazxefm/nikelab-acg-针织帽-6LMtmt.jpg'],针织帽,26,womens,2,https://www.nike.com/cn/t/nikelab-acg-%E9%92%88%E7%BB%87%E5%B8%BD-6LMtmt/AV4774-010
NikeLab ACG,AV4774-395,￥349,￥0,帆布橄榄绿/白色/光辉荧光黄,['all'],"['为运动而生，动态贴合', 'NikeLab ACG 针织帽在针织面料中间夹入优质里料，保暖舒适，是外出时的御寒利器。双面佩戴设计，可令你轻松转换穿搭造型。', '其他细节', '针织面料，柔软保暖', '优质里料，帮助保持干爽', '双面佩戴设计塑就两种风格', '产品细节', '外层面料/内层面料：80% 聚酯纤维/20% 棉', '手洗', '显示颜色： 帆布橄榄绿/白色/光辉荧光黄', '款式： AV4774-395', '关于 NikeLab ACG 系列', 'NikeLab ACG 系列装备采用时尚设计，助力应对不良天气因素，令你征服或攻克都市中的不良天气条件或地形环境。出色防护面料和透气技术结合，提供出众包覆效果，前沿设计带来多元存储体验和风格穿搭选择。', '敬请注意，同款但不同配色的商品有可能在材质等方面有些许差异，本页面中的商品介绍内容仅供参考，商品具体信息请以实物为准。如商品介绍内容中包含 Nike Flyknit 或气垫相关信息，请点击此', '，获取产品技术说明和穿着注意事项。']",['https://c.static-nike.com/a/images/t_PDP_1280_v1/f_auto/r8y6zhbmezmhelnplbhb/nikelab-acg-针织帽-6LMtmt.jpg'],针织帽,26,womens,2,https://www.nike.com/cn/t/nikelab-acg-%E9%92%88%E7%BB%87%E5%B8%BD-6LMtmt/AV4774-395
NikeLab H86,BV3032-010,￥229,￥0,黑/白色,['all'],"['经典邂逅灯芯绒', 'NikeLab H86 JDI 运动帽的正面中央绣有经典标语，搭配灯芯绒元素，带来工装风范。', '其他细节', '正面绣有\xa0“Just Do It.”', '每块拼接均配置孔眼，帮助保持凉爽', '产品细节', '面料/帽檐：100% 棉。前片里料拼接：65% 聚酯纤维/35% 棉。', '手洗', '显示颜色： 黑/白色', '款式： BV3032-010', '敬请注意，同款但不同配色的商品有可能在材质等方面有些许差异，本页面中的商品介绍内容仅供参考，商品具体信息请以实物为准。如商品介绍内容中包含 Nike Flyknit 或气垫相关信息，请点击', '，获取产品技术说明和穿着注意事项。']",['https://c.static-nike.com/a/images/t_PDP_1280_v1/f_auto/go4fwtyqpk88njab10kh/nikelab-h86-jdi-运动帽-vsjg7t.jpg'],JDI 运动帽,27,womens,2,https://www.nike.com/cn/t/nikelab-h86-jdi-%E8%BF%90%E5%8A%A8%E5%B8%BD-vsjg7t/BV3032-010
NikeLab H86,BV3032-100,￥229,￥0,白色/黑,['all'],"['经典邂逅灯芯绒', 'NikeLab H86 JDI 运动帽的正面中央绣有经典标语，搭配灯芯绒元素，带来工装风范。', '其他细节', '正面绣有\xa0“Just Do It.”', '每块拼接均配置孔眼，帮助保持凉爽', '产品细节', '面料/帽檐：100% 棉。前片里料拼接：65% 聚酯纤维/35% 棉。', '手洗', '显示颜色： 白色/黑', '款式： BV3032-100', '敬请注意，同款但不同配色的商品有可能在材质等方面有些许差异，本页面中的商品介绍内容仅供参考，商品具体信息请以实物为准。如商品介绍内容中包含 Nike Flyknit 或气垫相关信息，请点击', '，获取产品技术说明和穿着注意事项。']",['https://c.static-nike.com/a/images/t_PDP_1280_v1/f_auto/nh1c6to35tysctxgvtuj/nikelab-h86-jdi-运动帽-vsjg7t.jpg'],JDI 运动帽,27,womens,2,https://www.nike.com/cn/t/nikelab-h86-jdi-%E8%BF%90%E5%8A%A8%E5%B8%BD-vsjg7t/BV3032-100
NikeLab H86,BV3032-451,￥229,￥0,黑曜石色/白色,['all'],"['经典邂逅灯芯绒', 'NikeLab H86 JDI 运动帽的正面中央绣有经典标语，搭配灯芯绒元素，带来工装风范。', '其他细节', '正面绣有\xa0“Just Do It.”', '每块拼接均配置孔眼，帮助保持凉爽', '产品细节', '面料/帽檐：100% 棉。前片里料拼接：65% 聚酯纤维/35% 棉。', '手洗', '显示颜色： 黑曜石色/白色', '款式： BV3032-451', '敬请注意，同款但不同配色的商品有可能在材质等方面有些许差异，本页面中的商品介绍内容仅供参考，商品具体信息请以实物为准。如商品介绍内容中包含 Nike Flyknit 或气垫相关信息，请点击', '，获取产品技术说明和穿着注意事项。']",['https://c.static-nike.com/a/images/t_PDP_1280_v1/f_auto/bpodzwibqcu0fvkpecyr/nikelab-h86-jdi-运动帽-vsjg7t.jpg'],JDI 运动帽,27,womens,2,https://www.nike.com/cn/t/nikelab-h86-jdi-%E8%BF%90%E5%8A%A8%E5%B8%BD-vsjg7t/BV3032-451
Nike Sportswear Tailwind ACG Sherpa,AR0497-013,￥229,￥0,黑/黑/黑/黑,['all'],"['专属舒适', 'Nike Sportswear Tailwind ACG Sherpa 可调节运动帽采用针织耳部护翼结合可调节背面扣带设计，营造个性化保暖感受。', '其他细节', '不易撕裂面料，轻盈耐用', '针织耳部护翼提供出色包覆效果', '可调式背面扣带，定制专属舒适感', '产品细节', '面料：100% 锦纶。下帽檐：100% 聚酯纤维。侧拼接里料：100% 聚酯纤维。前片里料：91% 聚酯纤维/9% 氨纶。', '手洗', '显示颜色： 黑/黑/黑/黑', '款式： AR0497-013', '敬请注意，同款但不同配色的商品有可能在材质等方面有些许差异，本页面中的商品介绍内容仅供参考，商品具体信息请以实物为准。如商品介绍内容中包含 Nike Flyknit 或气垫相关信息，请点击', '，获取产品技术说明和穿着注意事项。']",['https://c.static-nike.com/a/images/t_PDP_1280_v1/f_auto/rpczw7mlccljhxisa3ee/sportswear-tailwind-acg-sherpa-可调节运动帽-ZW1kCQ.jpg'],可调节运动帽,28,womens,2,https://www.nike.com/cn/t/sportswear-tailwind-acg-sherpa-%E5%8F%AF%E8%B0%83%E8%8A%82%E8%BF%90%E5%8A%A8%E5%B8%BD-ZW1kCQ/AR0497-013
Nike Sportswear Tailwind ACG Sherpa,AR0497-381,￥229,￥0,晶洞水鸭青/哈瓦那红/黑,['all'],"['专属舒适', 'Nike Sportswear Tailwind ACG Sherpa 可调节运动帽采用针织耳部护翼结合可调节背面扣带设计，营造个性化保暖感受。', '其他细节', '不易撕裂面料，轻盈耐用', '针织耳部护翼提供出色包覆效果', '可调式背面扣带，定制专属舒适感', '产品细节', '面料：100% 锦纶。下帽檐：100% 聚酯纤维。侧拼接里料：100% 聚酯纤维。前片里料：91% 聚酯纤维/9% 氨纶。', '手洗', '显示颜色： 晶洞水鸭青/哈瓦那红/黑', '款式： AR0497-381', '敬请注意，同款但不同配色的商品有可能在材质等方面有些许差异，本页面中的商品介绍内容仅供参考，商品具体信息请以实物为准。如商品介绍内容中包含 Nike Flyknit 或气垫相关信息，请点击', '，获取产品技术说明和穿着注意事项。']",['https://c.static-nike.com/a/images/t_PDP_1280_v1/f_auto/c4obgho976fstaypzqyp/sportswear-tailwind-acg-sherpa-可调节运动帽-ZW1kCQ.jpg'],可调节运动帽,28,womens,2,https://www.nike.com/cn/t/sportswear-tailwind-acg-sherpa-%E5%8F%AF%E8%B0%83%E8%8A%82%E8%BF%90%E5%8A%A8%E5%B8%BD-ZW1kCQ/AR0497-381
NikeLab Pro,AV4781-277,￥199,￥0,麦芽棕/暗褐,['all'],"['工装风格', '当工装材料邂逅运动服风格，会擦出什么火花？NikeLab Pro 运动帽采用耐用棉帆布面料，搭配灯芯绒细节和 Carhartt 品牌标志。', '其他细节', '背面扣带设计，可供调节贴合感', '高帽冠设计，塑就经典外观', '帽身主体采用帆布面料，耐用柔软', '灯芯绒帽檐，带来对比效果', '产品细节', '面料：100% 棉。前片拼接（背面）：92% 聚酯纤维/8% 棉。', '手洗', '显示颜色： 麦芽棕/暗褐', '款式： AV4781-277', '敬请注意，同款但不同配色的商品有可能在材质等方面有些许差异，本页面中的商品介绍内容仅供参考，商品具体信息请以实物为准。如商品介绍内容中包含 Nike Flyknit 或气垫相关信息，请点击此', '，获取产品技术说明和穿着注意事项。']",['https://c.static-nike.com/a/images/t_PDP_1280_v1/f_auto/cozvqh0fwzaejifr8cxp/nikelab-pro-运动帽-407n5F.jpg'],运动帽,29,womens,2,https://www.nike.com/cn/t/nikelab-pro-%E8%BF%90%E5%8A%A8%E5%B8%BD-407n5F
Jordan Cuffed,AA1297-010,￥249,￥0,黑,['all'],"['舒适御寒', 'Jordan Cuffed\xa0针织帽采用柔软保暖面料，打造舒适贴合的佩戴体验。', '其他细节', '产品细节', '产品细节', '面料/里料：80% 聚酯纤维/20% 棉', '手洗', '显示颜色： 黑', '款式： AA1297-010', '敬请注意，同款但不同配色的商品有可能在材质等方面有些许差异，本页面中的商品介绍内容仅供参考，商品具体信息请以实物为准。如商品介绍内容中包含 Nike Flyknit 或气垫相关信息，请点击', '，获取产品技术说明和穿着注意事项。']",['https://c.static-nike.com/a/images/t_PDP_1280_v1/f_auto/sfbjzwcv6npoz8holv2x/jordan-cuffed-针织帽-PjZZc0.jpg'],针织帽,30,womens,2,https://www.nike.com/cn/t/jordan-cuffed-%E9%92%88%E7%BB%87%E5%B8%BD-PjZZc0/AA1297-010
Jordan Cuffed,AA1297-091,￥249,￥0,碳素灰,['all'],"['舒适御寒', 'Jordan Cuffed\xa0针织帽采用柔软保暖面料，打造舒适贴合的佩戴体验。', '其他细节', '产品细节', '产品细节', '面料/里料：80% 聚酯纤维/20% 棉', '手洗', '显示颜色： 碳素灰', '款式： AA1297-091', '敬请注意，同款但不同配色的商品有可能在材质等方面有些许差异，本页面中的商品介绍内容仅供参考，商品具体信息请以实物为准。如商品介绍内容中包含 Nike Flyknit 或气垫相关信息，请点击', '，获取产品技术说明和穿着注意事项。']",['https://c.static-nike.com/a/images/t_PDP_1280_v1/f_auto/uykzxjhgsax7tze6h8f9/jordan-cuffed-针织帽-PjZZc0.jpg'],针织帽,30,womens,2,https://www.nike.com/cn/t/jordan-cuffed-%E9%92%88%E7%BB%87%E5%B8%BD-PjZZc0/AA1297-091
Jordan Cuffed,AA1297-100,￥249,￥0,白色,['all'],"['舒适御寒', 'Jordan Cuffed\xa0针织帽采用柔软保暖面料，打造舒适贴合的佩戴体验。', '其他细节', '产品细节', '产品细节', '面料/里料：80% 聚酯纤维/20% 棉', '手洗', '显示颜色： 白色', '款式： AA1297-100', '敬请注意，同款但不同配色的商品有可能在材质等方面有些许差异，本页面中的商品介绍内容仅供参考，商品具体信息请以实物为准。如商品介绍内容中包含 Nike Flyknit 或气垫相关信息，请点击', '，获取产品技术说明和穿着注意事项。']",['https://c.static-nike.com/a/images/t_PDP_1280_v1/f_auto/etvyxd6y2x34lkg1mv4t/jordan-cuffed-针织帽-PjZZc0.jpg'],针织帽,30,womens,2,https://www.nike.com/cn/t/jordan-cuffed-%E9%92%88%E7%BB%87%E5%B8%BD-PjZZc0/AA1297-100
